Title,Publisher,Genre,Year,Rating,Console,MaxPlayers,AvgHoursToFinish,Sales,ReviewScore
Burnout Dominator,EA,"Action,Racing / Driving",2007,T,Sony PSP,4,17.58,0.02,76
Hot Pixel,Atari,Action,2007,T,Sony PSP,1,0.72,0.03,55
The Legend of Heroes III: Song of the Ocean,Namco,Role-Playing (RPG),2007,T,Sony PSP,1,49.88,0.03,58
SEGA Rally Revo,Sega,"Racing / Driving,Simulation",2007,T,Sony PSP,1,34,0.03,74
Heatseeker,,Action,2007,T,Sony PSP,1,9.75,0.04,49
Manhunt 2,Rockstar,Action,2007,T,Sony PSP,1,10.38,0.04,69
Worms: Open Warfare 2,THQ,"Action,Strategy",2007,T,Sony PSP,4,9.12,0.04,80
The Sims 2: Castaway,EA,Simulation,2007,T,Sony PSP,1,8,0.08,64
Thrillville: Off the Rails,,"Simulation,Strategy",2007,T,Sony PSP,1,12.15,0.08,72
Shrek the Third,Activision,Action,2007,T,Sony PSP,1,5.12,0.09,57
Brave Story: New Traveler,,Role-Playing (RPG),2007,T,Sony PSP,1,26.17,0.11,76
WipEout Pulse,Sony,"Action,Racing / Driving",2007,T,Sony PSP,1,8.67,0.11,82
Ben 10: Protector of the Earth,,Action,2007,T,Sony PSP,1,5.08,0.19,60
Jeanne d'Arc,Sony,"Role-Playing (RPG),Strategy",2007,T,Sony PSP,1,39.48,0.21,87
Ghost Rider,2K,Action,2007,T,Sony PSP,4,4.63,0.23,49
Syphon Filter: Logan's Shadow,Sony,"Action,Strategy",2007,T,Sony PSP,1,10.63,0.23,85
The Warriors,Rockstar,Action,2007,T,Sony PSP,1,12.57,0.24,52
Final Fantasy,SquareEnix,Role-Playing (RPG),2007,T,Sony PSP,1,22.4,0.35,67
Monster Hunter Freedom 2,Capcom,"Action,Strategy",2007,T,Sony PSP,1,136.02,0.38,72
Star Wars Battlefront: Renegade Squadron,,Action,2007,T,Sony PSP,1,4.08,0.93,73
Pinball Hall of Fame: The Williams Collection,,Simulation,2008,T,Sony PSP,4,29.25,0.09,78
Star Ocean: First Departure,SquareEnix,"Action,Role-Playing (RPG)",2008,T,Sony PSP,1,23.28,0.17,74
MX vs. ATV Untamed,Ubisoft,Educational,2008,T,Sony PSP,1,12,0.27,59
Patapon,Sony,"Action,Strategy",2008,T,Sony PSP,1,19.9,0.3,86
Dissidia: Final Fantasy,SquareEnix,"Action,Role-Playing (RPG)",2008,T,Sony PSP,1,63.32,0.49,79
Madden NFL 09,EA,Sports,2008,T,Sony PSP,4,15.88,0.68,68
God of War: Chains of Olympus,Sony,Action,2008,T,Sony PSP,1,6.03,1.54,91
Ridge Racer 6,"EA,Namco",Racing / Driving,2005,E,X360,2,8,0.1,74
Amped 3,2K,Sports,2005,E,X360,1,8.57,0.13,72
GUN ,Activision,"Action,Racing / Driving,Role-Playing (RPG)",2005,E,X360,1,8.85,0.22,75
NBA 2K6 ,2K,Sports,2005,E,X360,1,0.62,0.22,81
Quake 4,Activision,Action,2005,E,X360,1,9.13,0.27,75
NBA LIVE 06 ,EA,Sports,2005,E,X360,1,4,0.29,64
Tony Hawk's American Wasteland,Activision,Sports,2005,E,X360,1,12.88,0.29,75
Condemned: Criminal Origins,Sega,"Action,Adventure",2005,E,X360,1,8.17,0.33,81
Battlefield 2: Modern Combat,EA,Action,2005,E,X360,4,7.32,0.36,77
Dead or Alive 4,,Action,2005,E,X360,4,27.38,0.38,85
Madden NFL 06,EA,Sports,2005,E,X360,2,3.75,0.62,74
Perfect Dark Zero,Microsoft,Action,2005,E,X360,4,9.3,0.7,79
Need for Speed: Most Wanted,EA,Racing / Driving,2005,E,X360,2,14.6,0.95,83
Call of Duty 2,"Activision,Konami",Action,2005,E,X360,4,9.23,1.69,89
Rumble Roses XX,Konami,"Action,Sports",2006,E,X360,4,119.25,0.06,62
Import Tuner Challenge,Ubisoft,Racing / Driving,2006,E,X360,2,34.67,0.07,54
Winning Eleven: Pro Evolution Soccer 2007,Konami,Sports,2006,E,X360,6,37,0.08,80
Onechanbara: Bikini Samurai Squad,,Action,2006,E,X360,1,16.98,0.09,39
Phantasy Star Universe,Sega,Role-Playing (RPG),2006,E,X360,1,35.13,0.09,64
Just Cause,Eidos,"Action,Racing / Driving",2006,E,X360,1,14.62,0.09,73
Cabela's Alaskan Adventures,Activision,Sports,2006,E,X360,1,20,0.1,48
Open Season,Ubisoft,Action,2006,E,X360,4,5.47,0.11,59
College Hoops 2K6,2K,Sports,2006,E,X360,1,1.55,0.11,70
Star Trek Legacy,Ubisoft,"Action,Strategy",2006,E,X360,2,9.03,0.14,64
Enchanted Arms,Ubisoft,Role-Playing (RPG),2006,E,X360,1,43.28,0.15,69
Superman Returns,EA,Action,2006,E,X360,1,18.77,0.19,51
Full Auto,Sega,"Action,Racing / Driving",2006,E,X360,2,5,0.19,70
Far Cry: Instincts - Predator,Ubisoft,Action,2006,E,X360,4,18.77,0.19,78
The Outfit,THQ,Action,2006,E,X360,2,7.87,0.23,70
Tenchu Z,Microsoft,Action,2006,E,X360,1,34.03,0.28,56
Hitman: Blood Money,Eidos,Action,2006,E,X360,1,14.07,0.29,82
F.E.A.R.: First Encounter Assault Recon,,Action,2006,E,X360,1,9.4,0.32,85
Tony Hawk's Project 8,Activision,Sports,2006,E,X360,2,17.17,0.42,81
Viva Pi$?ata,Microsoft,"Simulation,Strategy",2006,E,X360,4,38.7,0.44,84
WWE SmackDown vs. Raw 2007,THQ,Sports,2006,E,X360,4,23.4,0.45,81
NBA 2K7 ,2K,Sports,2006,E,X360,1,8.18,0.56,84
LEGO Star Wars II: The Original Trilogy,,Action,2006,E,X360,2,17.55,0.57,81
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,Action,2006,E,X360,1,12.42,0.67,85
Need for Speed: Carbon,EA,Racing / Driving,2006,E,X360,2,13.3,0.78,77
Dead Rising,Capcom,Action,2006,E,X360,1,19.23,1.16,85
Tom Clancy's Rainbow Six: Vegas,Ubisoft,Action,2006,E,X360,2,9.9,1.19,88
Fight Night Round 3,EA,"Action,Sports",2006,E,X360,2,11.18,1.4,86
Tom Clancy's Ghost Recon: Advanced Warfighter,Ubisoft,Action,2006,E,X360,4,8.67,1.46,90
The Elder Scrolls IV: Oblivion,2K,"Action,Role-Playing (RPG)",2006,E,X360,1,101.08,2.12,94
Samurai Warriors 2: Empires,,"Action,Role-Playing (RPG),Strategy",2007,E,X360,2,12.75,0.02,53
Cabela's Big Game Hunter,Activision,"Simulation,Sports",2007,E,X360,1,4.5,0.04,51
F.E.A.R. Files,,Action,2007,E,X360,1,11.58,0.06,66
FlatOut: Ultimate Carnage,,Racing / Driving,2007,E,X360,1,21.8,0.07,80
Fantastic Four: Rise of the Silver Surfer,2K,Action,2007,E,X360,4,7.6,0.08,45
Surf's Up,Ubisoft,Sports,2007,E,X360,4,1.28,0.09,61
SEGA Rally Revo,Sega,"Racing / Driving,Simulation",2007,E,X360,2,34,0.1,77
Thrillville: Off the Rails,,"Simulation,Strategy",2007,E,X360,4,12.15,0.12,73
Conan,THQ,"Action,Adventure",2007,E,X360,1,7.18,0.14,69
Kingdom Under Fire: Circle of Doom,Microsoft,"Action,Role-Playing (RPG)",2007,E,X360,1,107.83,0.15,55
Call of Juarez,Ubisoft,Action,2007,E,X360,1,8.63,0.15,71
Warriors Orochi,,"Action,Role-Playing (RPG)",2007,E,X360,2,16.25,0.17,53
The Elder Scrolls IV: Shivering Isles,,"Action,Role-Playing (RPG)",2007,E,X360,1,21.8,0.18,86
Virtua Fighter 5,Sega,Action,2007,E,X360,2,3.33,0.18,89
Armored Core 4,Sega,Action,2007,E,X360,2,20.6,0.19,65
NHL 08 ,EA,Sports,2007,E,X360,1,17.5,0.22,85
Juiced 2: Hot Import Nights,THQ,Racing / Driving,2007,E,X360,2,16.45,0.23,68
Spider-Man: Friend or Foe,Activision,Action,2007,E,X360,2,11.12,0.27,60
Shrek the Third,Activision,Action,2007,E,X360,2,5.12,0.28,56
TMNT,Ubisoft,Action,2007,E,X360,1,4.92,0.28,58
BlackSite: Area 51,Midway,Action,2007,E,X360,1,5.82,0.29,62
Crash of the Titans,,Action,2007,E,X360,2,7.75,0.29,65
Beowulf: The Game,Ubisoft,Action,2007,E,X360,1,10.85,0.36,51
Kane & Lynch: Dead Men,Eidos,Action,2007,E,X360,2,5.93,0.38,65
Shadowrun,Microsoft,Action,2007,E,X360,1,28.85,0.38,66
DiRT,,"Racing / Driving,Simulation,Sports",2007,E,X360,1,16.03,0.39,83
Medal of Honor: Airborne,EA,Action,2007,E,X360,2,6.38,0.45,73
Spider-Man 3,Activision,Action,2007,E,X360,1,10.83,0.5,63
Ace Combat 6: Fires of Liberation,Namco,"Action,Simulation",2007,E,X360,1,13.45,0.58,80
NCAA Football 08,EA,Sports,2007,E,X360,2,12,0.68,81
The Orange Box,,Action,2007,E,X360,1,34.02,1.06,96
Rock Band,,"Action,Simulation",2007,E,X360,4,19.37,2.02,92
Madden NFL 08,EA,Sports,2007,E,X360,4,106,2.32,85
Call of Duty 4: Modern Warfare,Activision,Action,2007,E,X360,4,8.02,5.77,94
Halo 3,Microsoft,Action,2007,E,X360,4,10.35,8.03,94
The Spiderwick Chronicles,,"Action,Adventure",2008,E,X360,2,5.33,0.07,59
The Incredible Hulk,Sega,Action,2008,E,X360,1,5.22,0.22,55
Dragon Ball Z: Burst Limit,"Atari,Namco",Action,2008,E,X360,2,8.05,0.24,72
Wall-E,THQ,Action,2008,E,X360,4,7.35,0.27,50
Banjo-Kazooie: Nuts & Bolts,Microsoft,"Action,Adventure,Racing / Driving,Sports",2008,E,X360,1,26.93,0.31,79
GRID,,"Racing / Driving,Simulation,Sports",2008,E,X360,1,28.58,0.35,87
Spider-Man: Web of Shadows,Activision,Action,2008,E,X360,1,12.57,0.36,68
Sonic Unleashed,Sega,"Action,Adventure",2008,E,X360,1,13.15,0.41,60
Turok,,Action,2008,E,X360,1,9.72,0.47,69
Brothers in Arms: Hell's Highway,Ubisoft,Action,2008,E,X360,1,8.97,0.47,76
NHL 09 ,EA,Sports,2008,E,X360,1,26.67,0.48,88
Tomb Raider: Underworld,Eidos,Action,2008,E,X360,1,11.52,0.51,76
Tom Clancy's EndWar,Ubisoft,Strategy,2008,E,X360,1,14.53,0.56,77
Need for Speed: Undercover,EA,Racing / Driving,2008,E,X360,1,12.18,0.66,64
Mercenaries 2: World in Flames,EA,Action,2008,E,X360,1,22.87,0.66,72
Battlefield: Bad Company,EA,Action,2008,E,X360,1,8.27,0.83,83
SoulCalibur IV,Namco,Action,2008,E,X360,2,10.08,0.87,85
Guitar Hero: Aerosmith,Activision,"Action,Simulation",2008,E,X360,2,11.3,0.91,70
Midnight Club: Los Angeles,Rockstar,Racing / Driving,2008,E,X360,1,30.67,1.15,81
Saints Row 2,THQ,"Action,Racing / Driving",2008,E,X360,1,28.1,1.39,81
Sega Superstars Tennis,Sega,Sports,2008,E,X360,4,7.88,1.84,67
Rock Band 2,,"Action,Simulation",2008,E,X360,4,62.55,1.85,92
Kung Fu Panda,Activision,Action,2008,E,X360,4,6.7,2.04,75
Fable II,Microsoft,Role-Playing (RPG),2008,E,X360,1,25.15,2.55,89
Gears of War 2,Microsoft,Action,2008,E,X360,2,12.57,3.9,93
Call of Duty: World at War,Activision,Action,2008,E,X360,4,10.28,4.58,84
Grand Theft Auto IV,Rockstar,"Action,Racing / Driving",2008,E,X360,1,38.88,5.76,98
Bullet Witch,Atari,Action,2006,M,X360,1,8.53,0.06,55
Samurai Warriors 2,,Action,2006,M,X360,4,46.18,0.07,52
X-Men: The Official Game,Activision,Action,2006,M,X360,1,11.88,0.14,52
Rockstar Games presents Table Tennis,Rockstar,Sports,2006,M,X360,2,6,0.28,81
Lost Planet: Extreme Condition,Capcom,Action,2006,M,X360,1,8.87,1.15,79
Gears of War,Microsoft,Action,2006,M,X360,2,10.83,3.7,94
Looney Tunes: Acme Arsenal,,Action,2007,M,X360,4,3.83,0.07,40
Zoids Assault,,"Role-Playing (RPG),Strategy",2007,M,X360,1,12.05,0.07,46
Pro Evolution Soccer 2008,Konami,Sports,2007,M,X360,4,63.8,0.08,76
Blazing Angels 2: Secret Missions of WWII,Ubisoft,Action,2007,M,X360,2,13,0.09,72
Hour of Victory,Midway,Action,2007,M,X360,1,6.13,0.11,37
Beautiful Katamari,Namco,Action,2007,M,X360,1,14.55,0.11,73
Golden Axe,Sega,Action,2007,M,X360,2,1.18,0.15,45
Dynasty Warriors: Gundam,Namco,Action,2007,M,X360,2,62.07,0.15,55
Eternal Sonata,Namco,Role-Playing (RPG),2007,M,X360,1,38.15,0.15,79
Soldier of Fortune: Payback,Activision,Action,2007,M,X360,1,3.78,0.16,50
Rayman Raving Rabbids,Ubisoft,Action,2007,M,X360,4,6.7,0.17,67
The BIGS,2K,"Action,Simulation,Sports",2007,M,X360,4,16.82,0.19,79
Harry Potter and the Order of the Phoenix,EA,Action,2007,M,X360,1,12.38,0.22,68
The Golden Compass,Sega,Action,2007,M,X360,1,8.57,0.27,41
Def Jam: Icon,EA,Action,2007,M,X360,2,8,0.32,69
TimeShift,,Action,2007,M,X360,1,8.5,0.32,70
Overlord,,"Action,Strategy",2007,M,X360,1,22.1,0.35,76
The Darkness,2K,Action,2007,M,X360,1,10.9,0.36,82
Two Worlds,,"Action,Role-Playing (RPG)",2007,M,X360,1,32.7,0.43,50
Transformers: The Game,Activision,Action,2007,M,X360,1,7.23,0.51,52
NBA 2K8 ,2K,Sports,2007,M,X360,1,4,0.83,81
Crackdown,Microsoft,"Action,Racing / Driving,Role-Playing (RPG)",2007,M,X360,1,16.67,1.02,83
Battle Fantasia,,"Action,Role-Playing (RPG)",2008,M,X360,2,1.13,0.05,71
Blitz: The League II,Midway,"Action,Sports",2008,M,X360,2,20,0.07,68
Alone in the Dark,Atari,"Action,Adventure,Racing / Driving",2008,M,X360,1,6.6,0.12,58
The Chronicles of Narnia: Prince Caspian,Disney,"Action,Role-Playing (RPG)",2008,M,X360,2,12.82,0.13,56
Lost: Via Domus,Ubisoft,"Action,Adventure",2008,M,X360,1,5.83,0.15,55
Don King Presents: Prizefighter,2K,Sports,2008,M,X360,2,12.85,0.15,56
Command & Conquer 3: Kane's Wrath,EA,Strategy,2008,M,X360,1,9.77,0.15,75
Dynasty Warriors 6,,"Action,Strategy",2008,M,X360,2,29.35,0.16,60
Viking: Battle for Asgard,Sega,Action,2008,M,X360,1,17.5,0.16,68
AC/DC Live: Rock Band - Track Pack,,"Action,Simulation",2008,M,X360,4,3.63,0.19,63
Dark Sector,,Action,2008,M,X360,1,9.17,0.21,72
Crash: Mind over Mutant,,Action,2008,M,X360,1,6.08,0.22,60
Unreal Tournament III,Midway,Action,2008,M,X360,2,14.07,0.23,82
Turning Point: Fall of Liberty,,Action,2008,M,X360,1,5.12,0.24,43
Tales of Vesperia,Namco,"Adventure,Role-Playing (RPG)",2008,M,X360,1,71.78,0.25,79
TNA iMPACT!,Midway,Sports,2008,M,X360,4,15.88,0.26,62
Iron Man,Sega,Action,2008,M,X360,1,5.8,0.28,45
Frontlines: Fuel of War,THQ,Action,2008,M,X360,1,5.85,0.35,75
Mortal Kombat vs. DC Universe,Midway,Action,2008,M,X360,2,4.73,0.98,72
Tom Clancy's Rainbow Six: Vegas 2,Ubisoft,Action,2008,M,X360,2,9.9,1.61,82
Left 4 Dead,,Action,2008,M,X360,2,14.08,2.39,89
LEGO Indiana Jones: The Original Adventures,,Action,2008,M,X360,2,15.13,2.42,77
NHL 2K6 ,2K,Sports,2005,T,X360,1,2.5,0.1,75
Kameo: Elements of Power,Microsoft,Action,2005,T,X360,1,10.03,0.31,79
Peter Jackson's King Kong: The Official Game of...,Ubisoft,Action,2005,T,X360,2,6.97,0.32,80
WarTech: Senko no Ronde,Ubisoft,Action,2006,T,X360,2,25.88,0.03,60
Earth Defense Force 2017,,Action,2006,T,X360,2,22.47,0.03,69
Bionicle Heroes,Eidos,Action,2006,T,X360,1,15.3,0.06,59
Eragon,,Action,2006,T,X360,2,8.83,0.09,48
Project Sylpheed: Arc of Deception,"Microsoft,SquareEnix",Action,2006,T,X360,1,7.65,0.09,64
Dynasty Warriors 5: Empires,,"Action,Role-Playing (RPG),Strategy",2006,T,X360,2,34.32,0.1,61
Fuzion Frenzy 2,Microsoft,"Action,Sports",2006,T,X360,4,4.37,0.12,49
Dead or Alive: Xtreme 2,,"Racing / Driving,Sports",2006,T,X360,1,1,0.13,53
Blitz: The League,Midway,Sports,2006,T,X360,2,15,0.14,69
Top Spin 2,2K,Sports,2006,T,X360,4,10,0.16,75
The Godfather: The Game,EA,Action,2006,T,X360,1,21.15,0.2,77
Chromehounds,Sega,"Action,Simulation,Strategy",2006,T,X360,1,32.67,0.25,71
Test Drive Unlimited,Atari,Racing / Driving,2006,T,X360,1,53.4,0.25,82
NHL 07 ,EA,Sports,2006,T,X360,1,9,0.26,79
Prey,2K,Action,2006,T,X360,1,8.35,0.27,79
The Lord of the Rings: The Battle for Middle Ea...,EA,Strategy,2006,T,X360,1,20.43,0.27,79
Blue Dragon,Microsoft,Role-Playing (RPG),2006,T,X360,1,59.92,0.27,79
Major League Baseball 2K6,2K,Sports,2006,T,X360,2,7.65,0.37,66
Tiger Woods PGA Tour 07,EA,Sports,2006,T,X360,1,10,0.45,80
Saints Row,THQ,"Action,Racing / Driving",2006,T,X360,1,24.68,1.23,81
Call of Duty 3,Activision,Action,2006,T,X360,2,8.82,1.51,82
Marvel Ultimate Alliance,Activision,"Action,Role-Playing (RPG)",2006,T,X360,4,15.25,2.42,82
Virtua Tennis 3,Sega,Sports,2007,T,X360,4,18.17,0.01,80
Bladestorm: The Hundred Years' War,,"Action,Role-Playing (RPG),Strategy",2007,T,X360,1,51.25,0.08,63
Vampire Rain,Microsoft,Action,2007,T,X360,1,10.88,0.15,38
Bee Movie Game,Activision,Action,2007,T,X360,2,5.77,0.15,71
Viva Pi$?ata: Party Animals,Microsoft,Racing / Driving,2007,T,X360,4,8.88,0.17,56
Battlestations: Midway,Eidos,"Action,Strategy",2007,T,X360,1,7.97,0.21,73
Ratatouille,THQ,Action,2007,T,X360,4,13.2,0.22,56
All-Pro Football 2K8,2K,Sports,2007,T,X360,4,12,0.24,75
Stuntman: Ignition,THQ,"Action,Racing / Driving",2007,T,X360,4,8.2,0.26,75
Command & Conquer 3: Tiberium Wars,EA,Strategy,2007,T,X360,1,26.3,0.35,82
Sonic the Hedgehog,Sega,Action,2007,T,X360,2,3.53,0.41,46
Lost Odyssey,Microsoft,Role-Playing (RPG),2007,T,X360,1,69.95,0.45,78
NBA Street Homecourt,EA,Sports,2007,T,X360,4,18.32,0.47,80
Dance Dance Revolution Universe 2,Konami,Action,2007,T,X360,4,8,0.48,65
MX vs. ATV Untamed,THQ,Racing / Driving,2007,T,X360,2,12,0.48,70
Tony Hawk's Proving Ground,Activision,Sports,2007,T,X360,2,8.13,0.51,72
The Simpsons Game,EA,Action,2007,T,X360,2,1.03,0.55,71
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Ubisoft,Action,2007,T,X360,1,8.67,0.89,86
WWE Smackdown vs. Raw 2008,THQ,Sports,2007,T,X360,4,25.32,0.96,71
LEGO Star Wars: The Complete Saga,,Action,2007,T,X360,2,24.88,1.09,80
Need for Speed: ProStreet,EA,Racing / Driving,2007,T,X360,2,13.1,1.1,72
BioShock,2K,Action,2007,T,X360,1,14.67,1.52,96
Mass Effect,Microsoft,"Action,Role-Playing (RPG)",2007,T,X360,1,28.07,1.57,91
Guitar Hero II,Activision,"Action,Simulation",2007,T,X360,2,13.42,2.04,92
Forza Motorsport 2,Microsoft,Racing / Driving,2007,T,X360,2,59.55,2.48,90
Assassin's Creed,Ubisoft,Action,2007,T,X360,1,18.75,3.17,81
Guitar Hero III: Legends of Rock,Activision,"Action,Simulation",2007,T,X360,2,15.18,3.28,85
Supreme Commander,,Strategy,2008,T,X360,1,24.9,0.04,56
Armored Core: For Answer,Ubisoft,Action,2008,T,X360,1,56.88,0.05,64
Legendary,Atari,Action,2008,T,X360,1,5.85,0.07,47
Space Chimps,,"Action,Adventure",2008,T,X360,2,2.4,0.07,57
FIFA Street 3,EA,Sports,2008,T,X360,4,5.75,0.07,63
Universe at War: Earth Assault,Sega,"Action,Strategy",2008,T,X360,1,16,0.07,66
Conflict: Denied Ops,Eidos,Action,2008,T,X360,4,6.38,0.09,52
Raiden IV,,Action,2008,T,X360,2,0.83,0.09,63
Madagascar: Escape 2 Africa,Activision,Action,2008,T,X360,4,6.5,0.1,62
Culdcept Saga,Namco,Strategy,2008,T,X360,4,47.62,0.12,75
Dark Messiah of Might and Magic: Elements,Ubisoft,"Action,Role-Playing (RPG)",2008,T,X360,1,13.23,0.13,52
Fracture,,Action,2008,T,X360,1,7.9,0.13,63
The Club,Sega,Action,2008,T,X360,4,6.13,0.13,76
Viva Pi$?ata: Trouble in Paradise,Microsoft,"Racing / Driving,Simulation,Strategy",2008,T,X360,2,31.88,0.14,82
Beijing 2008,Sega,Sports,2008,T,X360,4,5.5,0.15,60
Command & Conquer: Red Alert 3,EA,Strategy,2008,T,X360,1,14.7,0.16,77
Silent Hill: Homecoming,Konami,Action,2008,T,X360,1,10.13,0.22,70
The Last Remnant,SquareEnix,Role-Playing (RPG),2008,T,X360,1,87.28,0.23,66
Enemy Territory: Quake Wars,Activision,Action,2008,T,X360,1,9.92,0.26,69
Infinite Undiscovery,SquareEnix,"Action,Role-Playing (RPG)",2008,T,X360,1,34.83,0.27,68
Condemned 2: Bloodshot,Sega,"Action,Adventure",2008,T,X360,1,10.15,0.29,80
Too Human,Microsoft,"Action,Role-Playing (RPG)",2008,T,X360,1,20.52,0.35,65
Sid Meier's Civilization: Revolution,2K,Strategy,2008,T,X360,1,14.4,0.49,84
Mirror's Edge,EA,Action,2008,T,X360,1,7.02,0.5,79
Bully: Scholarship Edition,Rockstar,"Action,Adventure",2008,T,X360,1,18.8,0.53,80
Prince of Persia,Ubisoft,Action,2008,T,X360,1,13.92,0.53,81
Far Cry 2,Ubisoft,Action,2008,T,X360,1,26,0.73,85
Devil May Cry 4,Capcom,Action,2008,T,X360,1,13.35,0.8,84
Army of Two,EA,Action,2008,T,X360,2,6.8,1.12,72
Pure,Disney,"Racing / Driving,Sports",2008,T,X360,1,13.67,1.43,85
Star Wars: The Force Unleashed,,Action,2008,T,X360,1,6.13,1.59,73
LEGO Batman: The Videogame,,Action,2008,T,X360,2,17.33,1.64,76
Guitar Hero: World Tour,Activision,"Action,Simulation",2008,T,X360,4,15.95,1.78,85
Madden NFL 09,EA,Sports,2008,T,X360,4,15.88,2.33,83
Fallout 3,,"Action,Role-Playing (RPG)",2008,T,X360,1,60.07,2.44,93